"filename", "language", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "JavaScript", "Batch", "Gradle", "Properties", "XML", "comment", "blank", "total"
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 86, 0, 0, 67, 24, 177
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 8
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 34
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\main\res\drawable\rn_edit_text_material.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 23, 3, 37
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\main\res\drawable\splashscreen.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\main\res\values-night\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 17
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 32, 0, 0, 3, 6, 41
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 11, 0, 33, 13, 57
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 41, 0, 0, 0, 29, 22, 92
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 5, 19
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\app.json", "JSON", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\app\_layout.tsx", "TypeScript JSX", 0, 0, 0, 113, 0, 0, 0, 0, 0, 8, 21, 142
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\app\api\info+api.ts", "TypeScript", 0, 0, 205, 0, 0, 0, 0, 0, 0, 1, 5, 211
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\app\api\listings+api.ts", "TypeScript", 0, 0, 297, 0, 0, 0, 0, 0, 0, 0, 3, 300
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\app\api\tickers+api.ts", "TypeScript", 0, 0, 442, 0, 0, 0, 0, 0, 0, 1, 3, 446
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\app\authentication\(tabs)\_layout.tsx", "TypeScript JSX", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 2, 78
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\app\authentication\(tabs)\crypto.tsx", "TypeScript JSX", 0, 0, 0, 55, 0, 0, 0, 0, 0, 2, 8, 65
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\app\authentication\(tabs)\cryptoCurrency\[id].tsx", "TypeScript JSX", 0, 0, 0, 226, 0, 0, 0, 0, 0, 1, 11, 238
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\app\authentication\(tabs)\home.tsx", "TypeScript JSX", 0, 0, 0, 105, 0, 0, 0, 0, 0, 1, 13, 119
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\app\authentication\(tabs)\invest.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\app\authentication\(tabs)\transfers.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\app\help.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\app\index.tsx", "TypeScript JSX", 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 5, 77
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\app\interfaces\crypto.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 3, 48
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\app\login.tsx", "TypeScript JSX", 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 15, 169
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\app\phoneNumberLogin.tsx", "TypeScript JSX", 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 15, 177
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\app\reset.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\app\signup.tsx", "TypeScript JSX", 0, 0, 0, 120, 0, 0, 0, 0, 0, 5, 16, 141
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\app\verificationEmail\[email].tsx", "TypeScript JSX", 0, 0, 0, 136, 0, 0, 0, 0, 0, 1, 8, 145
